Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Moms' Night Out,2014-05-09,https://en.wikipedia.org/wiki/Moms%2527_Night_Out,Religious,Comedy,Andrew Erwin and Jon Erwin,,Sarah Drew,Trace Adkins,Sean Astin,Patricia Heaton,,"5,000,000.00","10,500,000.00",0.21,,,,,,,
Money Monster,2016-05-13,https://en.wikipedia.org/wiki/Money_Monster,Drama,,Jodie Foster,,George Clooney,Julia Roberts,Jack O'Connell,Dominic West,Caitriona Balfe,"27,000,000.00","93,100,000.00",0.344814815,,,,,,,
Monster Hunt,2016-01-22,https://en.wikipedia.org/wiki/Monster_Hunt,Action,Comedy,Raman Hui,,Bai Baihe,Jing Boran,Jiang Wu,Elaine Jin,,"56,000,000.00","385,200,000.00",0.687857143,,,,,,,
Moonrise Kingdom ₪,2012-05-25,https://en.wikipedia.org/wiki/Moonrise_Kingdom,Comedy,Romance,Wes Anderson,,Jared Gilman,Kara Hayward,Bruce Willis,Edward Norton,Bill Murray,"16,000,000.00","68,300,000.00",0.426875,,,,,,,
Mortdecai,2015-01-23,https://en.wikipedia.org/wiki/Mortdecai_(film),Action,Comedy,David Koepp,,Johnny Depp,Ewan McGregor,Olivia Munn,Aubrey Plaza,Oliver Platt,"60,000,000.00","47,000,000.00",0.078333333,,,,,,,
Mother's Day,2016-04-13,https://en.wikipedia.org/wiki/Mother%2527s_Day_(2016_film),Comedy,Drama,Garry Marshall,,Jennifer Aniston,Julia Roberts,Kate Hudson,Timothy Olyphant,Jason Sudeikis,"25,000,000.00","43,800,000.00",0.1752,,,,,,,
Mr. Peabody & Sherman,2014-02-07,https://en.wikipedia.org/wiki/Mr._Peabody_%2526_Sherman,Family,,Rob Minkoff,,Ty Burrell,Max Charles,Stephen Colbert,Allison Janney,Ariel Winter,"145,000,000.00","275,700,000.00",0.190137931,,,,,,,
Mud,2013-04-26,https://en.wikipedia.org/wiki/Mud_(2012_film),Drama,,Jeff Nichols,,Matthew McConaughey,Reese Witherspoon,Michael Shannon,Sarah Paulson,Sam Shepard,"10,000,000.00","32,600,000.00",0.326,,,,,,,
Mustang,2015-05-19,https://en.wikipedia.org/wiki/Mustang_(film),Drama,,Deniz Gamze Ergüven,,Güneş Şensoy,,,,,"1,300,000.00","4,900,000.00",0.376923077,,,,,,,
My All American,2015-11-13,https://en.wikipedia.org/wiki/My_All_American,Biography,Sports,Angelo Pizzo,,Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger,Michael Reilly Burke,"20,000,000.00","2,200,000.00",0.011,,,,,,,
My Big Fat Greek Wedding 2,2016-03-25,https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2,Romance,Comedy,Kirk Jones,,Nia Vardalos,John Corbett,Ian Gomez,Elena Kampouris,,"18,000,000.00","88,900,000.00",0.493888889,,,,,,,
Need for Speed,2014-03-12,https://en.wikipedia.org/wiki/Need_for_Speed_(film),Action,,Scott Waugh,,Aaron Paul,Imogen Poots,Dominic Cooper,Michael Keaton,Ramón Rodríguez,"65,000,000.00","203,300,000.00",0.312769231,,,,,,,
Neighbors,2014-03-08,https://en.wikipedia.org/wiki/Neighbors_(2014_film),Comedy,,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Christopher Mintz-Plasse,Dave Franco,"18,000,000.00","270,700,000.00",1.503888889,,,,,,,
Neighbors 2: Sorority Rising,2016-05-20,https://en.wikipedia.org/wiki/Neighbors_2:_Sorority_Rising,Comedy,,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Chloë Grace Moretz,Dave Franco,"35,000,000.00","107,900,000.00",0.308285714,,,,,,,
Nerve,2016-07-27,https://en.wikipedia.org/wiki/Nerve_(2016_film),Thriller,,Henry Joost,Ariel Schulman,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,"20,000,000.00","47,600,000.00",0.238,,,,,,,
Night at the Museum: Secret of the Tomb,2014-12-11,https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb,Comedy,,Shawn Levy,,Ben Stiller,Robin Williams,Dan Stevens,Owen Wilson,Ricky Gervais,"127,000,000.00","363,200,000.00",0.285984252,,,,,,,
Nightcrawler,2014-09-05,https://en.wikipedia.org/wiki/Nightcrawler_(film),Drama,,Dan Gilroy,,Jake Gyllenhaal,Bill Paxton,Rene Russo,Riz Ahmed,,"8,500,000.00","50,300,000.00",0.591764706,,,,,,,
Nine Lives,2016-08-05,https://en.wikipedia.org/wiki/Nine_Lives_(2016_film),Comedy,,Barry Sonnenfeld,,Kevin Spacey,Robbie Amell,Jennifer Garner,Christopher Walken,Malina Weissman,"30,000,000.00","19,100,000.00",0.063666667,,,,,,,
No Escape,2015-08-17,https://en.wikipedia.org/wiki/No_Escape_(2015_film),Action,Thriller,John Erick Dowdle,,Owen Wilson,Pierce Brosnan,Lake Bell,,,"5,000,000.00","54,400,000.00",1.088,,,,,,,
No Good Deed,2014-09-12,https://en.wikipedia.org/wiki/No_Good_Deed_(2014_film),Crime,,Sam Miller,,Idris Elba,Taraji P. Henson,Henry Simmons,,,"13,200,000.00","54,300,000.00",0.411363636,,,,,,,
No One Lives,2013-05-10,https://en.wikipedia.org/wiki/No_One_Lives,Horror,,Ryuhei Kitamura,,Luke Evans,Adelaide Clemens,America Olivo,Derek Magyar,Lindsey Shaw,"2,900,000.00","1,000,000.00",0.034482759,,,,,,,
Noah,2014-03-10,https://en.wikipedia.org/wiki/Noah_(2014_film),Adventure,Drama,Darren Aronofsky,,Russell Crowe,Jennifer Connelly,Logan Lerman,Emma Watson,Ray Winstone,"125,000,000.00","362,600,000.00",0.29008,,,,,,,
Non-Stop,2014-01-27,https://en.wikipedia.org/wiki/Non-Stop_(film),Thriller,,Jaume Collet-Serra,,Liam Neeson,Julianne Moore,Lupita Nyong'o,Nate Parker,Michelle Dockery,"50,000,000.00","222,800,000.00",0.4456,,,,,,,
Now You See Me,2013-05-31,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),Crime,,Louis Leterrier,,Jesse Eisenberg,Isla Fisher,Morgan Freeman,Woody Harrelson,Mark Ruffalo,"75,000,000.00","351,700,000.00",0.468933333,,,,,,,
Now You See Me 2,2016-06-06,https://en.wikipedia.org/wiki/Now_You_See_Me_2,Thriller,,Jon M. Chu,,Mark Ruffalo,Jesse Eisenberg,Woody Harrelson,Dave Franco,Lizzy Caplan,"90,000,000.00","320,900,000.00",0.356555556,,,,,,,
Oblivion,2013-04-10,https://en.wikipedia.org/wiki/Oblivion_(2013_film),Action,Sci-Fi,Joseph Kosinski,,Tom Cruise,Olga Kurylenko,Andrea Riseborough,Morgan Freeman,Nikolaj Coster-Waldau,"120,000,000.00","286,200,000.00",0.2385,,,,,,,
Olympus Has Fallen,2013-03-22,https://en.wikipedia.org/wiki/Olympus_Has_Fallen,Action,,Antoine Fuqua,,Gerard Butler,Aaron Eckhart,Morgan Freeman,Rick Yune,Dylan McDermott,"70,000,000.00","161,000,000.00",0.23,,,,,,,
One Direction: This Is Us,2013-08-29,https://en.wikipedia.org/wiki/One_Direction:_This_Is_Us,Documentary,Musical,Morgan Spurlock,,Harry Styles,Niall Horan,Louis Tomlinson,Zayn Malik,Liam Payne,"10,000,000.00","68,500,000.00",0.685,,,,,,,
One for the Money,2012-01-27,https://en.wikipedia.org/wiki/One_for_the_Money_(film),Crime,Romance,Julie Anne Robinson,,Katherine Heigl,Debbie Reynolds,Jason O'Mara,Daniel Sunjata,Sherri Shepherd,"40,000,000.00","36,900,000.00",0.09225,,,,,,,
Ouija,2014-10-24,https://en.wikipedia.org/wiki/Ouija_(2014_film),Horror,,Stiles White,,Douglas Smith,Olivia Cooke,Vivis Colombetti,Ana Coto,Erin Moriarty,"5,000,000.00","103,600,000.00",2.072,,,,,,,
Our Brand Is Crisis,2015-09-11,https://en.wikipedia.org/wiki/Our_Brand_Is_Crisis_(2015_film),Comedy,Drama,David Gordon Green,,Sandra Bullock,Scoot McNairy,Billy Bob Thornton,Anthony Mackie,Ann Dowd,"28,000,000.00","8,600,000.00",0.030714286,,,,,,,
Pacific Rim,2013-07-12,https://en.wikipedia.org/wiki/Pacific_Rim_(film),Action,Sci-Fi,Guillermo del Toro,,Charlie Hunnam,Ellen McLain,Idris Elba,Charlie Day,Rinko Kikuchi,"190,000,000.00","411,000,000.00",0.216315789,,,,,,,
Pain & Gain,2013-04-26,https://en.wikipedia.org/wiki/Pain_%2526_Gain,Action,Comedy,Michael Bay,,Mark Wahlberg,Dwayne Johnson,Ed Harris,Ken Jeong,Anthony Mackie,"26,000,000.00","86,200,000.00",0.331538462,,,,,,,
Pan,2015-09-30,https://en.wikipedia.org/wiki/Pan_(2015_film),Fantasy,Adventure,Joe Wright,,Hugh Jackman,Garrett Hedlund,Rooney Mara,Amanda Seyfried,Levi Miller,"150,000,000.00","128,400,000.00",0.0856,,,,,,,
Paper Towns,2015-07-24,https://en.wikipedia.org/wiki/Paper_Towns_(film),Romance,Mystery,Jake Schreier,,Nat Wolff,Cara Delevingne,,,,"12,000,000.00","85,500,000.00",0.7125,,,,,,,
Paranormal Activity 4,2012-10-19,https://en.wikipedia.org/wiki/Paranormal_Activity_4,Thriller,,Ariel Schulman,Henry Joost,Kathryn Newton,Katie Featherston,,,,"5,000,000.00","142,800,000.00",2.856,,,,,,,
Paranormal Activity: The Ghost Dimension,2015-10-23,https://en.wikipedia.org/wiki/Paranormal_Activity:_The_Ghost_Dimension,Horror,,Gregory Plotkin,,Katie Featherston,Tyler Craig,,,,"10,000,000.00","78,100,000.00",0.781,,,,,,,
ParaNorman,2012-08-17,https://en.wikipedia.org/wiki/ParaNorman,Fantasy,,Chris Butler,,Kodi Smit-McPhee,Tucker Albrizzi,Anna Kendrick,Casey Affleck,Christopher Mintz-Plasse,"60,000,000.00","107,100,000.00",0.1785,,,,,,,
Parental Guidance,2012-12-25,https://en.wikipedia.org/wiki/Parental_Guidance_(film),Comedy,,Andy Fickman,,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Bailee Madison,"25,000,000.00","119,800,000.00",0.4792,,,,,,,
Parker,2013-01-25,https://en.wikipedia.org/wiki/Parker_(2013_film),Crime,Action,Taylor Hackford,,Jason Statham,Jennifer Lopez,Bobby Cannavale,Clifton Collins,Jr.,"35,000,000.00","48,500,000.00",0.138571429,,,,,,,
Paul Blart: Mall Cop 2,2015-04-17,https://en.wikipedia.org/wiki/Paul_Blart:_Mall_Cop_2,Action,Comedy,Andy Fickman,,Kevin James,Raini Rodriguez,Neal McDonough,Molly Shannon,Daniella Alonso,"40,000,000.00","107,600,000.00",0.269,,,,,,,
Pawn Sacrifice,2015-09-11,https://en.wikipedia.org/wiki/Pawn_Sacrifice,Biography,Drama,Ed Zwick,,Tobey Maguire,Liev Schreiber,Peter Sarsgaard,Michael Stuhlbarg,Lily Rabe,"19,000,000.00","5,400,000.00",0.028421053,,,,,,,
Penguins of Madagascar,2014-11-14,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,Family,,Simon J. Smith,,Tom McGrath,Chris Miller,Conrad Vernon,Christopher Knights,Benedict Cumberbatch,"132,000,000.00","373,000,000.00",0.282575758,,,,,,,
People Like Us,2012-06-29,https://en.wikipedia.org/wiki/People_Like_Us_(film),Drama,,Alex Kurtzman,,Chris Pine,Elizabeth Banks,Michelle Pfeiffer,Olivia Wilde,Mark Duplass,"16,000,000.00","12,400,000.00",0.0775,,,,,,,
Percy Jackson: Sea of Monsters,2013-08-07,https://en.wikipedia.org/wiki/Percy_Jackson:_Sea_of_Monsters,Adventure,Fantasy,Thor Freudenthal,,Logan Lerman,Alexandra Daddario,Douglas Smith,Mary Birdsong,Yvette Nicole Brown,"90,000,000.00","202,200,000.00",0.224666667,,,,,,,
Pitch Perfect,2012-10-05,https://en.wikipedia.org/wiki/Pitch_Perfect,Comedy,Musical,Jason Moore,,Anna Kendrick,Anna Camp,Rebel Wilson,Adam DeVine,Alexis Knapp,"17,000,000.00","115,400,000.00",0.678823529,,,,,,,
Pitch Perfect 2,2015-04-20,https://en.wikipedia.org/wiki/Pitch_Perfect_2,Comedy,,Elizabeth Banks,,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,"29,000,000.00","287,100,000.00",0.99,,,,,,,
Pixels,2015-07-24,https://en.wikipedia.org/wiki/Pixels_(2015_film),Comedy,Action,Chris Columbus,,Adam Sandler,Kevin James,Josh Gad,Peter Dinklage,Michelle Monaghan,"129,000,000.00","244,900,000.00",0.189844961,,,,,,,
Point Break,2015-12-25,https://en.wikipedia.org/wiki/Point_Break_(2015_film),Action,Thriller,Ericson Core,,Edgar Ramirez,Luke Bracey,Ray Winstone,Teresa Palmer,,"105,000,000.00","133,700,000.00",0.127333333,,,,,,,
Polis Evo,2015-09-17,https://en.wikipedia.org/wiki/Polis_Evo,Action,,Ghaz Abu Bakar,,Shaheizy Sam,Zizan Razak,Nora Danish,Mimie Ernida,Wan Hanafi Su,"2,400,000.00","17,300,000.00",0.720833333,,,,,,,
Poltergeist,2015-05-22,https://en.wikipedia.org/wiki/Poltergeist_(2015_film),Horror,,Gil Kenan,,Sam Rockwell,Jared Harris,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,"35,000,000.00","95,400,000.00",0.272571429,,,,,,,
Pompeii,2014-02-18,https://en.wikipedia.org/wiki/Pompeii_(film),Action,Adventure,Paul W. S. Anderson,,Kit Harington,Emily Browning,Jared Harris,Kiefer Sutherland,Carrie-Anne Moss,"80,000,000.00","117,800,000.00",0.14725,,,,,,,
Popstar: Never Stop Never Stopping,2016-06-03,https://en.wikipedia.org/wiki/Popstar:_Never_Stop_Never_Stopping,Comedy,,Jorma Taccone,Akiva Schaffer,Jorma Taccone,Akiva Schaffer,Andy Samberg (screenplay),,,"20,000,000.00","9,500,000.00",0.0475,,,,,,,
Premium Rush,2012-08-24,https://en.wikipedia.org/wiki/Premium_Rush,Action,,David Koepp,,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Wole Parks,Jamie Chung,"35,000,000.00","31,100,000.00",0.088857143,,,,,,,
Pride and Prejudice and Zombies,2016-02-05,https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies_(film),Comedy,Horror,Burr Steers,,Lily James,Sam Riley,Matt Smith,Lena Headey,Charles Dance,"28,000,000.00","16,400,000.00",0.058571429,,,,,,,
Prisoners,2013-09-20,https://en.wikipedia.org/wiki/Prisoners_(2013_film),Crime,,Denis Villeneuve,,Jake Gyllenhaal,Hugh Jackman,Paul Dano,Melissa Leo,Viola Davis,"46,000,000.00","122,100,000.00",0.265434783,,,,,,,
Project Almanac,2015-01-30,https://en.wikipedia.org/wiki/Project_Almanac,Sci-Fi,Adventure,Dean Israelite,,Jonny Weston,Sofia Black-D'Elia,,,,"12,000,000.00","33,200,000.00",0.276666667,,,,,,,
Project X,2012-03-02,https://en.wikipedia.org/wiki/Project_X_(2012_film),Comedy,,Nima Nourizadeh,,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Kirby Bliss Blanton,Thomas Mann,"12,000,000.00","102,700,000.00",0.855833333,,,,,,,
Prometheus,2012-06-08,https://en.wikipedia.org/wiki/Prometheus_(2012_film),Sci-Fi,Horror,Ridley Scott,,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,"130,000,000.00","403,400,000.00",0.310307692,,,,,,,
Promised Land,2012-12-28,https://en.wikipedia.org/wiki/Promised_Land_(2012_film),Drama,,Gus Van Sant,,Matt Damon,John Krasinski,Rosemarie DeWitt,Frances McDormand,,"15,000,000.00","8,100,000.00",0.054,,,,,,,
R.I.P.D.,2013-07-19,https://en.wikipedia.org/wiki/R.I.P.D.,Action,Comedy,Robert Schwentke,,Ryan Reynolds,Jeff Bridges,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker,"130,000,000.00","78,300,000.00",0.060230769,,,,,,,
Race,2016-02-19,https://en.wikipedia.org/wiki/Race_(2016_film),Drama,Sports,Stephen Hopkins,,Stephan James,Jason Sudeikis,Jeremy Irons,William Hurt,Carice van Houten,"5,000,000.00","23,500,000.00",0.47,,,,,,,
Raiders of the Lost Ark: The IMAX Experience,2012-09-07,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,Action,Adventure,Steven Spielberg,,Harrison Ford,John Rhys-Davies,Karen Allen,Paul Freeman,Alfred Molina,"18,000,000.00","389,900,000.00",2.166111111,,,,,,,
Rams,2015-05-15,https://en.wikipedia.org/wiki/Rams_(film),Drama,,Grímur Hákonarson,,Sigurður Sigurjónsson,,,,,"1,750,000.00","1,740,000.00",0.099428571,,,,,,,
Ratchet & Clank,2016-04-29,https://en.wikipedia.org/wiki/Ratchet_%2526_Clank_(film),Sci-Fi,Action,Jerrica Cleland,Kevin Munroe,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,James Arnold Taylor,"20,000,000.00","12,800,000.00",0.064,,,,,,,
RED 2,2013-07-19,https://en.wikipedia.org/wiki/RED_2_(film),Action,Comedy,Dean Parisot,,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,Catherine Zeta-Jones,"84,000,000.00","148,100,000.00",0.176309524,,,,,,,
Red Dawn,2012-11-21,https://en.wikipedia.org/wiki/Red_Dawn_(2012_film),Action,,Dan Bradley,,Will Yun Lee,Chris Hemsworth,Josh Peck,Adrianne Palicki,Josh Hutcherson,"65,000,000.00","48,100,000.00",0.074,,,,,,,
Red Tails,2012-01-20,https://en.wikipedia.org/wiki/Red_Tails,Drama,,Anthony Hemingway,,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Daniela Ruah,Terrence Howard,"58,000,000.00","50,400,000.00",0.086896552,,,,,,,
Resident Evil: Retribution,2012-09-14,https://en.wikipedia.org/wiki/Resident_Evil:_Retribution,Action,Horror,Paul W. S. Anderson,,Milla Jovovich,Sienna Guillory,Colin Salmon,Boris Kodjoe,Michelle Rodriguez,"65,000,000.00","240,200,000.00",0.369538462,,,,,,,
Ricki and the Flash,2015-08-07,https://en.wikipedia.org/wiki/Ricki_and_the_Flash,Comedy,Drama,Jonathan Demme,,Meryl Streep,Kevin Kline,Mamie Gummer,Audra McDonald,Sebastian Stan,"18,000,000.00","41,300,000.00",0.229444444,,,,,,,
Riddick,2013-09-06,https://en.wikipedia.org/wiki/Riddick_(film),Action,Sci-Fi,David Twohy,,Vin Diesel,Karl Urban,Katee Sackhoff,Dave Bautista,Matthew Nable,"40,000,000.00","100,300,000.00",0.25075,,,,,,,
Ride Along,2014-01-17,https://en.wikipedia.org/wiki/Ride_Along_(film),Action,Comedy,Tim Story,,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,"25,000,000.00","154,500,000.00",0.618,,,,,,,
Ride Along 2,2016-01-15,https://en.wikipedia.org/wiki/Ride_Along_2,Comedy,Action,Tim Story,,Ice Cube,Kevin Hart,Benjamin Bratt,Olivia Munn,Ken Jeong,"40,000,000.00","124,200,000.00",0.3105,,,,,,,
Rio 2,2014-03-20,https://en.wikipedia.org/wiki/Rio_2,Family,,Carlos Saldanha,,Jesse Eisenberg,Anne Hathaway,Leslie Mann,Bruno Mars,Jemaine Clement,"103,000,000.00","500,100,000.00",0.485533981,,,,,,,
Rise of the Guardians,2012-11-21,https://en.wikipedia.org/wiki/Rise_of_the_Guardians,Adventure,,Peter Ramsey,,Chris Pine,Alec Baldwin,Hugh Jackman,Isla Fisher,Jude Law,"145,000,000.00","306,900,000.00",0.211655172,,,,,,,
Risen,2016-02-19,https://en.wikipedia.org/wiki/Risen_(2016_film),Drama,,Kevin Reynolds,,Joseph Fiennes,Tom Felton,Cliff Curtis,,,"20,000,000.00","46,100,000.00",0.2305,,,,,,,
RoboCop,2014-01-30,https://en.wikipedia.org/wiki/RoboCop_(2014_film),Action,Adventure,José Padilha,,Joel Kinnaman,Gary Oldman,Michael Keaton,Samuel L. Jackson,Jackie Earle Haley,"100,000,000.00","242,700,000.00",0.2427,,,,,,,
Robot & Frank,2012-08-17,https://en.wikipedia.org/wiki/Robot_%2526_Frank,Comedy,Drama,Jake Schreier,,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,"2,500,000.00","4,900,000.00",0.196,,,,,,,
Rock of Ages,2012-06-15,https://en.wikipedia.org/wiki/Rock_of_Ages_(2012_film),Musical,Drama,Adam Shankman,,Julianne Hough,Diego Boneta,Tom Cruise,Alec Baldwin,Russell Brand,"75,000,000.00","59,400,000.00",0.0792,,,,,,,
Rock the Kasbah,2015-10-22,https://en.wikipedia.org/wiki/Rock_the_Kasbah_(film),Comedy,,Barry Levinson,,Bill Murray,Bruce Willis,Kate Hudson,Scott Caan,Zooey Deschanel,"15,000,000.00","3,400,000.00",0.022666667,,,,,,,
Romeo and Juliet,2013-07-26,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(2013_film),Drama,,Carlo Carlei,,Hailee Steinfeld,Douglas Booth,Damian Lewis,Natascha McElhone,Lesley Manville,"15,000,000.00","3,000,000.00",0.02,,,,,,,
Room,2015-09-04,https://en.wikipedia.org/wiki/Room_(2015_film),Drama,Thriller,Lenny Abrahamson,,Brie Larson,Joan Allen,William H. Macy,Sean Bridgers,Jacob Tremblay,"13,000,000.00","36,000,000.00",0.276923077,,,,,,,
Run All Night,2015-03-13,https://en.wikipedia.org/wiki/Run_All_Night_(film),Action,,Jaume Collet-Serra,,Liam Neeson,Joel Kinnaman,Ed Harris,,,"61,600,000.00","71,700,000.00",0.116396104,,,,,,,
"Runner, Runner",2013-09-27,"https://en.wikipedia.org/wiki/Runner,_Runner_(film)",Crime,,Brad Furman,,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,,"30,000,000.00","30,000,000.00",0.1,,,,,,,
Rush,2013-09-20,https://en.wikipedia.org/wiki/Rush_(2013_film),Action,,Ron Howard,,Chris Hemsworth,Daniel Bruhl,Olivia Wilde,Alexandra Maria Lara,,"38,000,000.00","90,200,000.00",0.237368421,,,,,,,
Sabotage,2014-03-19,https://en.wikipedia.org/wiki/Sabotage_(2014_film),Action,,David Ayer,,Arnold Schwarzenegger,Mireille Enos,Sam Worthington,Joe Manganiello,Olivia Williams,"35,000,000.00","17,500,000.00",0.05,,,,,,,
Safe House,2012-02-10,https://en.wikipedia.org/wiki/Safe_House_(2012_film),Action,,Daniel Espinosa,,Denzel Washington,Ryan Reynolds,Sam Shepard,Robert Patrick,Liam Cunningham,"85,000,000.00","208,100,000.00",0.244823529,,,,,,,
Salmon Fishing in the Yemen,2012-03-09,https://en.wikipedia.org/wiki/Salmon_Fishing_in_the_Yemen,Drama,Romance,Lasse Hallström,,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Amr Waked,,"14,400,000.00","34,600,000.00",0.240277778,,,,,,,
Savages,2012-07-06,https://en.wikipedia.org/wiki/Savages_(2012_film),Crime,Drama,Oliver Stone,,Taylor Kitsch,Blake Lively,Aaron Johnson,John Travolta,Benicio del Toro,"45,000,000.00","83,000,000.00",0.184444444,,,,,,,
Scary Movie 5,2013-04-12,https://en.wikipedia.org/wiki/Scary_Movie_5,Comedy,Horror,Malcolm D. Lee,,Ashley Tisdale,Simon Rex,Lindsay Lohan,Charlie Sheen,Terry Crews,"20,000,000.00","78,400,000.00",0.392,,,,,,,
Secret in Their Eyes,2015-11-20,https://en.wikipedia.org/wiki/Secret_in_Their_Eyes,Crime,Thriller,Billy Ray,,Julia Roberts,Nicole Kidman,Chiwetel Ejiofor,Dean Norris,,"19,500,000.00","32,200,000.00",0.165128205,,,,,,,
Self/less,2015-07-10,https://en.wikipedia.org/wiki/Self/less,Drama,Sci-Fi,Tarsem Singh,,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Victor Garber,Matthew Goode,"26,000,000.00","30,500,000.00",0.117307692,,,,,,,
Selma,2014-12-25,https://en.wikipedia.org/wiki/Selma_(film),Drama,,Ava DuVernay,,David Oyelowo,Tom Wilkinson,Common,Carmen Ejogo,,"20,000,000.00","66,800,000.00",0.334,,,,,,,
Seventh Son,2014-12-17,https://en.wikipedia.org/wiki/Seventh_Son_(film),Fantasy,,Sergei Bodrov,,Sergei Bodrov (director) Ben Barnes,Jeff Bridges,Julianne Moore,Alicia Vikander,Kit Harington,"95,000,000.00","114,200,000.00",0.120210526,,,,,,,
Shaun the Sheep Movie,2015-01-24,https://en.wikipedia.org/wiki/Shaun_the_Sheep_Movie,Adventure,Comedy,Mark Burton,,Justin Fletcher,John Sparkes,,,,"25,000,000.00","106,000,000.00",0.424,,,,,,,
Sicario,2015-05-19,https://en.wikipedia.org/wiki/Sicario_(2015_film),Crime,Drama,Denis Villeneuve,,Emily Blunt,Benicio del Toro,Josh Brolin,Jon Bernthal,,"30,000,000.00","84,900,000.00",0.283,,,,,,,
Side Effects,2013-02-08,https://en.wikipedia.org/wiki/Side_Effects_(2013_film),Crime,,Steven Soderbergh,,Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,"30,000,000.00","66,700,000.00",0.222333333,,,,,,,
Silent Hill: Revelation 3D,2012-10-26,https://en.wikipedia.org/wiki/Silent_Hill:_Revelation_3D,Horror,,Michael J. Bassett,,Adelaide Clemens,Sean Bean,Radha Mitchell,Kit Harington,Carrie-Anne Moss,"20,000,000.00","52,300,000.00",0.2615,,,,,,,
Silver Linings Playbook,2012-11-16,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,Drama,,David O. Russell,,Bradley Cooper,Jennifer Lawrence,Brea Bee,Robert De Niro,Jacki Weaver,"21,000,000.00","236,400,000.00",1.125714286,,,,,,,
Sin City: A Dame to Kill For,2014-08-19,https://en.wikipedia.org/wiki/Sin_City:_A_Dame_to_Kill_For,Crime,Thriller,Frank Miller,Robert Rodriguez,Jessica Alba,Powers Boothe,Josh Brolin,Rosario Dawson,Joseph Gordon-Levitt,"65,000,000.00","39,400,000.00",0.060615385,,,,,,,
Sinister,2012-10-12,https://en.wikipedia.org/wiki/Sinister_(film),Horror,Thriller,Scott Derrickson,,Ethan Hawke,Juliet Rylance,Fred Thompson,Vincent D'Onofrio,,"3,000,000.00","77,700,000.00",2.59,,,,,,,
Sinister 2,2015-08-21,https://en.wikipedia.org/wiki/Sinister_2,Horror,,Ciaran Foy,,James Ransone,Shannyn Sossamon,,,,"10,000,000.00","52,900,000.00",0.529,,,,,,,
Sisters,2015-12-18,https://en.wikipedia.org/wiki/Sisters_(2015_film),Comedy,,Jason Moore,,Amy Poehler,Tina Fey,John Cena,Maya Rudolph,,"30,000,000.00","105,000,000.00",0.35,,,,,,,
Snitch,2013-02-22,https://en.wikipedia.org/wiki/Snitch_(film),Action,,Ric Roman Waugh,,Dwayne Johnson,Susan Sarandon,Benjamin Bratt,Barry Pepper,,"15,000,000.00","57,800,000.00",0.385333333,,,,,,,
Snow White and the Huntsman,2012-06-01,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,Action,Fantasy,Rupert Sanders,,Charlize Theron,Kristen Stewart,Chris Hemsworth,Sam Spruell,Ian McShane,"170,000,000.00","396,600,000.00",0.233294118,,,,,,,
Son of God,2014-02-28,https://en.wikipedia.org/wiki/Son_of_God_(film),Drama,,Christopher Spencer,,Diogo Morgado,Roma Downey,Darwin Shaw,,,"22,000,000.00","67,800,000.00",0.308181818,,,,,,,
Son of Saul,2015-05-15,https://en.wikipedia.org/wiki/Son_of_Saul,Drama,,László Nemes,,Géza Röhrig,,,,,"1,500,000.00","6,200,000.00",0.413333333,,,,,,,
