Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,"4,000,000.00","1,000,000.00",0.025,,,,,,,
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Action,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,"35,000,000.00","34,600,000.00",0.098857143,,,,,,,
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Comedy,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,"52,000,000.00","26,300,000.00",0.050576923,,,,,,,
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Family,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,"90,000,000.00","234,800,000.00",0.260888889,,,,,,,
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,"50,000,000.00","235,000,000.00",0.47,,,,,,,
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,"58,800,000.00","547,400,000.00",0.930952381,,,,,,,
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Comedy,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,"28,000,000.00","27,100,000.00",0.096785714,,,,,,,
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Documentary,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,"3,400,000.00","22,000,000.00",0.647058824,,,,,,,
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,"6,500,000.00","256,900,000.00",3.952307692,,,,,,,
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Drama,Will Gluck,,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,"65,000,000.00","133,800,000.00",0.205846154,,,,,,,
